offset 305.7
#num     spill time       feild 
0         0.500000      1.000007      
1         1.500000      1.000006      
2         2.500000      1.000007      
3         3.500000      1.000009      
4         4.500000      1.000013      
5         5.500000      1.000013      
6         6.500000      1.000010      
7         7.500000      1.000011      
8         8.500000      1.000008      
9         9.500000      1.000008      
10         10.500000      1.000009      
11         11.500000      1.000003      
12         12.500000      0.999995      
13         13.500000      0.999979      
14         14.500000      0.999977      
15         15.500000      0.999979      
16         16.500000      0.999970      
17         17.500000      0.999930      
18         18.500000      0.999904      
19         19.500000      0.999888      
20         20.500000      0.999848      
21         21.500000      0.999846      
22         22.500000      0.999822      
23         23.500000      0.999806      
24         24.500000      0.999812      
25         25.500000      0.999815      
26         26.500000      0.999814      
27         27.500000      0.999809      
28         28.500000      0.999813      
29         29.500000      0.999821      
30         30.500000      0.999815      
31         31.500000      0.999810      
32         32.500000      0.999823      
33         33.500000      0.999832      
34         34.500000      0.999833      
35         35.500000      0.999878      
36         36.500000      0.999906      
37         37.500000      0.999900      
38         38.500000      0.999915      
39         39.500000      0.999950      
40         40.500000      0.999978      
41         41.500000      0.999983      
42         42.500000      1.000001      
43         43.500000      1.000010      
44         44.500000      1.000018      
45         45.500000      1.000003      
46         46.500000      0.999991      
47         47.500000      0.999997      
48         48.500000      1.000005      
49         49.500000      1.000008      
50         50.500000      1.000014      
51         51.500000      1.000022      
52         52.500000      1.000035      
53         53.500000      1.000040      
54         54.500000      1.000073      
55         55.500000      1.000104      
56         56.500000      1.000089      
57         57.500000      1.000091      
58         58.500000      1.000122      
59         59.500000      1.000142      
60         60.500000      1.000158      
61         61.500000      1.000164      
62         62.500000      1.000165      
63         63.500000      1.000163      
64         64.500000      1.000158      
65         65.500000      1.000158      
66         66.500000      1.000158      
67         67.500000      1.000156      
68         68.500000      1.000176      
69         69.500000      1.000162      
70         70.500000      1.000146      
71         71.500000      1.000154      
72         72.500000      1.000149      
73         73.500000      1.000154      
74         74.500000      1.000173      
75         75.500000      1.000167      
76         76.500000      1.000169      
77         77.500000      1.000170      
78         78.500000      1.000163      
79         79.500000      1.000170      
80         80.500000      1.000177      
81         81.500000      1.000181      
82         82.500000      1.000193      
83         83.500000      1.000197      
84         84.500000      1.000193      
85         85.500000      1.000191      
86         86.500000      1.000204      
87         87.500000      1.000218      
88         88.500000      1.000221      
89         89.500000      1.000217      
90         90.500000      1.000219      
91         91.500000      1.000218      
92         92.500000      1.000218      
93         93.500000      1.000219      
94         94.500000      1.000210      
95         95.500000      1.000204      
96         96.500000      1.000205      
97         97.500000      1.000202      
98         98.500000      1.000193      
99         99.500000      1.000192      
100         100.500000      1.000193      
101         101.500000      1.000190      
102         102.500000      1.000177      
103         103.500000      1.000167      
104         104.500000      1.000162      
105         105.500000      1.000147      
106         106.500000      1.000130      
107         107.500000      1.000111      
108         108.500000      1.000078      
109         109.500000      1.000055      
110         110.500000      1.000030      
111         111.500000      1.000032      
112         112.500000      1.000021      
113         113.500000      0.999996      
114         114.500000      0.999973      
115         115.500000      0.999969      
116         116.500000      0.999964      
117         117.500000      0.999969      
118         118.500000      0.999979      
119         119.500000      0.999974      
120         120.500000      0.999966      
121         121.500000      0.999975      
122         122.500000      0.999979      
123         123.500000      0.999975      
124         124.500000      0.999971      
125         125.500000      0.999969      
126         126.500000      0.999985      
127         127.500000      0.999984      
128         128.500000      0.999980      
129         129.500000      0.999984      
130         130.500000      0.999995      
131         131.500000      0.999998      
132         132.500000      0.999993      
133         133.500000      1.000013      
134         134.500000      1.000016      
135         135.500000      1.000006      
136         136.500000      1.000011      
137         137.500000      1.000017      
138         138.500000      1.000022      
139         139.500000      1.000017      
140         140.500000      1.000015      
141         141.500000      1.000014      
142         142.500000      1.000013      
143         143.500000      1.000018      
144         144.500000      1.000011      
145         145.500000      1.000013      
146         146.500000      1.000017      
147         147.500000      1.000010      
148         148.500000      1.000000      
149         149.500000      1.000007      
150         150.500000      1.000013      
151         151.500000      1.000003      
152         152.500000      0.999999      
153         153.500000      0.999999      
