#num     spill time       feild 
0         0.500000      0.999998      
1         1.500000      1.000000      
2         2.500000      1.000001      
3         3.500000      1.000000      
4         4.500000      0.999999      
5         5.500000      0.999999      
6         6.500000      0.999999      
7         7.500000      1.000000      
8         8.500000      1.000000      
9         9.500000      0.999998      
10         10.500000      0.999998      
11         11.500000      0.999996      
12         12.500000      0.999995      
13         13.500000      0.999993      
14         14.500000      0.999986      
15         15.500000      0.999977      
16         16.500000      0.999964      
17         17.500000      0.999950      
18         18.500000      0.999932      
19         19.500000      0.999897      
20         20.500000      0.999877      
21         21.500000      0.999862      
22         22.500000      0.999833      
23         23.500000      0.999782      
24         24.500000      0.999758      
25         25.500000      0.999729      
26         26.500000      0.999710      
27         27.500000      0.999705      
28         28.500000      0.999703      
29         29.500000      0.999709      
30         30.500000      0.999741      
31         31.500000      0.999786      
32         32.500000      0.999815      
33         33.500000      0.999885      
34         34.500000      0.999925      
35         35.500000      0.999958      
36         36.500000      0.999999      
37         37.500000      1.000050      
38         38.500000      1.000074      
39         39.500000      1.000099      
40         40.500000      1.000107      
41         41.500000      1.000104      
42         42.500000      1.000104      
43         43.500000      1.000097      
44         44.500000      1.000086      
45         45.500000      1.000064      
46         46.500000      1.000044      
47         47.500000      1.000027      
48         48.500000      0.999990      
49         49.500000      0.999947      
50         50.500000      0.999927      
51         51.500000      0.999900      
52         52.500000      0.999863      
53         53.500000      0.999830      
54         54.500000      0.999824      
55         55.500000      0.999827      
56         56.500000      0.999825      
57         57.500000      0.999836      
58         58.500000      0.999857      
59         59.500000      0.999889      
60         60.500000      0.999906      
61         61.500000      0.999957      
62         62.500000      0.999998      
63         63.500000      1.000022      
64         64.500000      1.000058      
65         65.500000      1.000106      
66         66.500000      1.000145      
67         67.500000      1.000172      
68         68.500000      1.000188      
69         69.500000      1.000208      
70         70.500000      1.000216      
71         71.500000      1.000220      
72         72.500000      1.000222      
73         73.500000      1.000210      
74         74.500000      1.000194      
75         75.500000      1.000174      
76         76.500000      1.000160      
77         77.500000      1.000140      
78         78.500000      1.000123      
79         79.500000      1.000103      
