#num     spill time       feild 
0         0.500000      1.000013      
1         1.500000      1.000007      
2         2.500000      1.000005      
3         3.500000      1.000004      
4         4.500000      1.000006      
5         5.500000      1.000011      
6         6.500000      1.000009      
7         7.500000      1.000004      
8         8.500000      1.000005      
9         9.500000      1.000008      
10         10.500000      1.000012      
11         11.500000      1.000011      
12         12.500000      1.000004      
13         13.500000      1.000004      
14         14.500000      0.999976      
15         15.500000      0.999955      
16         16.500000      0.999953      
17         17.500000      0.999920      
18         18.500000      0.999885      
19         19.500000      0.999852      
20         20.500000      0.999839      
21         21.500000      0.999822      
22         22.500000      0.999805      
23         23.500000      0.999789      
24         24.500000      0.999778      
25         25.500000      0.999773      
26         26.500000      0.999777      
27         27.500000      0.999782      
28         28.500000      0.999779      
29         29.500000      0.999786      
30         30.500000      0.999786      
31         31.500000      0.999781      
32         32.500000      0.999791      
33         33.500000      0.999803      
34         34.500000      0.999821      
35         35.500000      0.999864      
36         36.500000      0.999890      
37         37.500000      0.999882      
38         38.500000      0.999903      
39         39.500000      0.999963      
40         40.500000      0.999968      
41         41.500000      1.000001      
42         42.500000      0.999978      
43         43.500000      0.999988      
44         44.500000      1.000015      
45         45.500000      0.999995      
46         46.500000      0.999999      
47         47.500000      0.999997      
48         48.500000      0.999963      
49         49.500000      0.999946      
50         50.500000      0.999952      
51         51.500000      0.999980      
52         52.500000      0.999984      
53         53.500000      1.000004      
54         54.500000      1.000028      
55         55.500000      1.000032      
56         56.500000      1.000069      
57         57.500000      1.000084      
58         58.500000      1.000106      
59         59.500000      1.000120      
60         60.500000      1.000111      
61         61.500000      1.000104      
62         62.500000      1.000107      
63         63.500000      1.000138      
64         64.500000      1.000156      
65         65.500000      1.000142      
66         66.500000      1.000127      
67         67.500000      1.000133      
68         68.500000      1.000124      
69         69.500000      1.000105      
70         70.500000      1.000117      
71         71.500000      1.000111      
72         72.500000      1.000101      
73         73.500000      1.000119      
74         74.500000      1.000124      
75         75.500000      1.000120      
76         76.500000      1.000119      
77         77.500000      1.000116      
78         78.500000      1.000129      
79         79.500000      1.000143      
80         80.500000      1.000134      
81         81.500000      1.000148      
82         82.500000      1.000171      
83         83.500000      1.000173      
84         84.500000      1.000181      
85         85.500000      1.000194      
86         86.500000      1.000208      
87         87.500000      1.000210      
88         88.500000      1.000208      
89         89.500000      1.000222      
90         90.500000      1.000228      
91         91.500000      1.000229      
92         92.500000      1.000219      
93         93.500000      1.000221      
94         94.500000      1.000228      
95         95.500000      1.000222      
96         96.500000      1.000217      
97         97.500000      1.000205      
98         98.500000      1.000206      
99         99.500000      1.000196      
100         100.500000      1.000187      
101         101.500000      1.000190      
102         102.500000      1.000182      
103         103.500000      1.000176      
104         104.500000      1.000163      
105         105.500000      1.000167      
106         106.500000      1.000155      
107         107.500000      1.000117      
108         108.500000      1.000088      
109         109.500000      1.000053      
110         110.500000      1.000042      
111         111.500000      1.000039      
112         112.500000      1.000021      
113         113.500000      1.000022      
114         114.500000      1.000003      
115         115.500000      0.999970      
116         116.500000      0.999962      
117         117.500000      0.999970      
118         118.500000      0.999971      
119         119.500000      0.999971      
120         120.500000      0.999974      
