#num     spill time       feild 
0         0.500000      1.000013      
1         1.500000      1.000013      
2         2.500000      1.000000      
3         3.500000      0.999993      
4         4.500000      0.999984      
5         5.500000      0.999979      
6         6.500000      1.000004      
7         7.500000      1.000012      
8         8.500000      1.000014      
9         9.500000      0.999984      
10         10.500000      1.000013      
11         11.500000      1.000018      
12         12.500000      1.000014      
13         13.500000      0.999934      
14         14.500000      0.999791      
15         15.500000      0.999787      
16         16.500000      0.999684      
17         17.500000      0.999656      
18         18.500000      0.999632      
19         19.500000      0.999688      
20         20.500000      0.999774      
21         21.500000      0.999909      
22         22.500000      0.999780      
23         23.500000      0.999770      
24         24.500000      0.999881      
25         25.500000      0.999895      
26         26.500000      0.999774      
27         27.500000      0.999724      
28         28.500000      0.999801      
29         29.500000      0.999961      
30         30.500000      0.999958      
31         31.500000      0.999687      
32         32.500000      0.999752      
33         33.500000      0.999827      
34         34.500000      0.999757      
35         35.500000      0.999838      
36         36.500000      0.999627      
37         37.500000      0.999621      
38         38.500000      0.999647      
39         39.500000      0.999698      
40         40.500000      0.999653      
41         41.500000      0.999642      
42         42.500000      0.999649      
43         43.500000      0.999693      
44         44.500000      0.999638      
45         45.500000      0.999599      
46         46.500000      0.999762      
47         47.500000      0.999822      
48         48.500000      0.999807      
49         49.500000      0.999642      
50         50.500000      0.999646      
51         51.500000      0.999659      
52         52.500000      0.999796      
53         53.500000      0.999815      
54         54.500000      0.999892      
55         55.500000      0.999973      
56         56.500000      1.000019      
57         57.500000      0.999991      
58         58.500000      0.999951      
59         59.500000      1.000001      
60         60.500000      1.000018      
61         61.500000      0.999962      
62         62.500000      0.999965      
63         63.500000      1.000013      
64         64.500000      0.999951      
65         65.500000      0.999893      
66         66.500000      0.999866      
67         67.500000      0.999599      
68         68.500000      0.999789      
69         69.500000      0.999881      
70         70.500000      0.999829      
71         71.500000      0.999877      
72         72.500000      0.999873      
73         73.500000      0.999856      
74         74.500000      0.999948      
75         75.500000      0.999939      
76         76.500000      0.999965      
77         77.500000      1.000070      
78         78.500000      0.999902      
79         79.500000      0.999843      
80         80.500000      0.999870      
81         81.500000      0.999806      
82         82.500000      0.999707      
83         83.500000      0.999843      
84         84.500000      1.000000      
85         85.500000      1.000063      
86         86.500000      1.000014      
87         87.500000      1.000011      
88         88.500000      0.999954      
89         89.500000      0.999940      
90         90.500000      1.000028      
91         91.500000      1.000039      
92         92.500000      1.000033      
93         93.500000      1.000030      
94         94.500000      1.000125      
95         95.500000      1.000176      
96         96.500000      1.000063      
97         97.500000      1.000041      
98         98.500000      1.000016      
99         99.500000      1.000021      
100         100.500000      1.000004      
101         101.500000      0.999974      
102         102.500000      0.999998      
103         103.500000      1.000021      
104         104.500000      1.000027      
105         105.500000      1.000025      
106         106.500000      1.000000      
107         107.500000      1.000021      
108         108.500000      0.999981      
109         109.500000      0.999965      
110         110.500000      0.999954      
111         111.500000      0.999970      
112         112.500000      1.000002      
113         113.500000      1.000035      
114         114.500000      1.000035      
115         115.500000      1.000016      
116         116.500000      0.999979      
117         117.500000      0.999991      
118         118.500000      1.000009      
119         119.500000      1.000016      
120         120.500000      0.999937      
121         121.500000      0.999974      
122         122.500000      1.000030      
123         123.500000      1.000049      
124         124.500000      1.000066      
125         125.500000      1.000047      
126         126.500000      0.999984      
127         127.500000      1.000000      
128         128.500000      1.000003      
129         129.500000      0.999995      
130         130.500000      1.000000      
131         131.500000      0.999988      
132         132.500000      0.999979      
133         133.500000      1.000010      
134         134.500000      1.000119      
135         135.500000      1.000028      
136         136.500000      1.000030      
137         137.500000      1.000027      
138         138.500000      1.000029      
139         139.500000      1.000058      
140         140.500000      1.000027      
141         141.500000      0.999985      
142         142.500000      0.999958      
143         143.500000      0.999951      
144         144.500000      0.999951      
145         145.500000      1.000037      
146         146.500000      1.000021      
147         147.500000      1.000005      
148         148.500000      1.000005      
149         149.500000      0.999985      
150         150.500000      1.000018      
151         151.500000      1.000030      
152         152.500000      1.000035      
153         153.500000      1.000063      
154         154.500000      0.999986      
155         155.500000      0.999959      
156         156.500000      1.000007      
157         157.500000      1.000021      
158         158.500000      1.000021      
159         159.500000      1.000031      
160         160.500000      1.000041      
161         161.500000      1.000049      
162         162.500000      0.999972      
163         163.500000      0.999972      
164         164.500000      1.000021      
165         165.500000      1.000011      
166         166.500000      1.000007      
167         167.500000      1.000035      
168         168.500000      1.000042      
169         169.500000      1.000049      
170         170.500000      1.000016      
171         171.500000      1.000004      
172         172.500000      1.000035      
173         173.500000      1.000028      
174         174.500000      0.999958      
175         175.500000      0.999975      
176         176.500000      1.000004      
177         177.500000      1.000001      
178         178.500000      1.000004      
179         179.500000      0.999979      
180         180.500000      0.999968      
181         181.500000      0.999976      
182         182.500000      0.999993      
183         183.500000      1.000014      
184         184.500000      1.000035      
185         185.500000      1.000024      
186         186.500000      0.999986      
187         187.500000      1.000026      
188         188.500000      1.000009      
189         189.500000      0.999982      
190         190.500000      1.000001      
191         191.500000      1.000014      
192         192.500000      1.000016      
193         193.500000      1.000013      
194         194.500000      1.000007      
195         195.500000      1.000014      
196         196.500000      1.000018      
197         197.500000      1.000016      
198         198.500000      1.000028      
199         199.500000      1.000012      
200         200.500000      0.999979      
201         201.500000      0.999979      
202         202.500000      1.000049      
203         203.500000      1.000007      
204         204.500000      1.000013      
205         205.500000      1.000031      
206         206.500000      1.000037      
207         207.500000      1.000019      
208         208.500000      0.999993      
209         209.500000      0.999991      
210         210.500000      0.999993      
211         211.500000      0.999984      
212         212.500000      0.999985      
213         213.500000      1.000010      
214         214.500000      1.000027      
215         215.500000      1.000028      
216         216.500000      0.999996      
217         217.500000      0.999993      
218         218.500000      1.000028      
219         219.500000      1.000032      
220         220.500000      1.000023      
221         221.500000      1.000039      
222         222.500000      1.000024      
223         223.500000      1.000021      
224         224.500000      1.000070      
225         225.500000      1.000054      
226         226.500000      1.000007      
227         227.500000      1.000007      
228         228.500000      1.000070      
229         229.500000      1.000116      
230         230.500000      1.000115      
231         231.500000      1.000110      
232         232.500000      1.000115      
233         233.500000      1.000056      
234         234.500000      1.000055      
235         235.500000      1.000073      
236         236.500000      1.000068      
237         237.500000      1.000100      
238         238.500000      1.000123      
239         239.500000      1.000098      
240         240.500000      1.000072      
241         241.500000      1.000069      
242         242.500000      1.000043      
243         243.500000      1.000035      
244         244.500000      1.000108      
245         245.500000      1.000074      
246         246.500000      1.000043      
247         247.500000      1.000060      
248         248.500000      1.000045      
249         249.500000      1.000063      
250         250.500000      1.000119      
251         251.500000      1.000091      
252         252.500000      1.000117      
253         253.500000      1.000109      
254         254.500000      1.000049      
255         255.500000      1.000047      
256         256.500000      1.000039      
257         257.500000      1.000068      
258         258.500000      1.000119      
259         259.500000      1.000105      
260         260.500000      1.000105      
261         261.500000      1.000068      
262         262.500000      1.000077      
263         263.500000      1.000077      
264         264.500000      1.000070      
265         265.500000      1.000123      
266         266.500000      1.000137      
267         267.500000      1.000067      
268         268.500000      1.000095      
269         269.500000      1.000155      
270         270.500000      0.999754      
271         271.500000      0.999754      
272         272.500000      1.000091      
273         273.500000      1.000096      
274         274.500000      1.000124      
275         275.500000      1.000103      
276         276.500000      1.000049      
277         277.500000      1.000029      
278         278.500000      0.999946      
279         279.500000      0.999942      
280         280.500000      1.000063      
281         281.500000      1.000070      
282         282.500000      1.000046      
283         283.500000      1.000077      
284         284.500000      0.999736      
285         285.500000      0.999734      
286         286.500000      0.999726      
287         287.500000      1.000035      
288         288.500000      0.999742      
289         289.500000      0.999662      
290         290.500000      0.999529      
291         291.500000      0.999610      
292         292.500000      0.999607      
293         293.500000      0.999582      
294         294.500000      0.999578      
295         295.500000      0.999513      
296         296.500000      0.999511      
297         297.500000      0.999541      
298         298.500000      0.999501      
299         299.500000      0.999515      
300         300.500000      0.999501      
301         301.500000      0.999504      
302         302.500000      0.999577      
303         303.500000      0.999609      
304         304.500000      0.999466      
305         305.500000      0.999613      
306         306.500000      0.999768      
307         307.500000      0.999459      
308         308.500000      0.999627      
309         309.500000      0.999717      
310         310.500000      0.999642      
311         311.500000      0.999631      
312         312.500000      0.999737      
313         313.500000      0.999806      
314         314.500000      1.000077      
315         315.500000      1.000093      
316         316.500000      1.000108      
317         317.500000      1.000344      
318         318.500000      1.000223      
319         319.500000      1.000223      
320         320.500000      1.000016      
321         321.500000      0.999940      
322         322.500000      1.000148      
323         323.500000      1.000192      
324         324.500000      0.999829      
325         325.500000      0.999318      
326         326.500000      0.999567      
327         327.500000      0.999536      
328         328.500000      0.999490      
329         329.500000      0.999454      
330         330.500000      0.999471      
331         331.500000      0.999507      
332         332.500000      0.999527      
333         333.500000      0.999445      
334         334.500000      0.999438      
335         335.500000      0.999606      
336         336.500000      0.999754      
337         337.500000      1.000007      
338         338.500000      0.999932      
339         339.500000      0.999941      
340         340.500000      0.999951      
341         341.500000      0.999937      
342         342.500000      1.000063      
343         343.500000      1.000084      
344         344.500000      1.000096      
345         345.500000      0.999993      
346         346.500000      1.000211      
347         347.500000      1.000225      
348         348.500000      1.000067      
349         349.500000      1.000024      
350         350.500000      1.000051      
351         351.500000      1.000053      
352         352.500000      1.000105      
353         353.500000      1.000141      
354         354.500000      1.000204      
355         355.500000      1.000204      
356         356.500000      0.999985      
357         357.500000      0.999981      
358         358.500000      0.999926      
359         359.500000      0.999919      
360         360.500000      1.000005      
361         361.500000      1.000009      
362         362.500000      0.999965      
363         363.500000      0.999965      
364         364.500000      1.000002      
365         365.500000      1.000001      
366         366.500000      0.999991      
367         367.500000      0.999982      
368         368.500000      0.999987      
369         369.500000      0.999993      
370         370.500000      1.000005      
371         371.500000      1.000002      
372         372.500000      1.000004      
373         373.500000      1.000028      
374         374.500000      1.000056      
375         375.500000      1.000056      
376         376.500000      0.999989      
377         377.500000      1.000007      
378         378.500000      1.000035      
379         379.500000      1.000028      
380         380.500000      1.000021      
381         381.500000      0.999958      
382         382.500000      0.999984      
383         383.500000      1.000035      
384         384.500000      1.000026      
385         385.500000      1.000002      
386         386.500000      1.000001      
387         387.500000      0.999996      
388         388.500000      1.000084      
389         389.500000      1.000063      
390         390.500000      1.000001      
391         391.500000      0.999996      
392         392.500000      0.999993      
393         393.500000      0.999982      
394         394.500000      0.999993      
395         395.500000      1.000014      
396         396.500000      1.000002      
397         397.500000      1.000002      
398         398.500000      0.999987      
399         399.500000      0.999991      
400         400.500000      0.999993      
401         401.500000      0.999985      
402         402.500000      0.999989      
403         403.500000      0.999999      
404         404.500000      1.000002      
405         405.500000      0.999996      
406         406.500000      1.000019      
407         407.500000      1.000056      
408         408.500000      0.999993      
409         409.500000      1.000012      
410         410.500000      1.000000      
411         411.500000      0.999965      
412         412.500000      1.000021      
413         413.500000      1.000018      
414         414.500000      1.000012      
415         415.500000      1.000000      
416         416.500000      1.000015      
417         417.500000      1.000038      
418         418.500000      1.000030      
419         419.500000      1.000021      
420         420.500000      1.000014      
421         421.500000      1.000007      
422         422.500000      1.000002      
423         423.500000      1.000001      
424         424.500000      1.000035      
425         425.500000      1.000035      
426         426.500000      1.000011      
427         427.500000      1.000007      
428         428.500000      0.999979      
429         429.500000      1.000007      
430         430.500000      1.000002      
431         431.500000      1.000000      
432         432.500000      0.999996      
433         433.500000      0.999999      
434         434.500000      0.999998      
435         435.500000      0.999994      
436         436.500000      0.999995      
437         437.500000      0.999996      
438         438.500000      1.000000      
439         439.500000      0.999996      
440         440.500000      1.000007      
441         441.500000      1.000007      
442         442.500000      0.999996      
443         443.500000      1.000007      
444         444.500000      1.000004      
445         445.500000      0.999993      
446         446.500000      1.000007      
447         447.500000      1.000012      
448         448.500000      1.000002      
449         449.500000      0.999999      
450         450.500000      1.000009      
451         451.500000      1.000021      
452         452.500000      1.000021      
453         453.500000      1.000021      
454         454.500000      1.000014      
455         455.500000      1.000012      
456         456.500000      1.000007      
457         457.500000      1.000007      
458         458.500000      1.000000      
459         459.500000      0.999996      
460         460.500000      0.999997      
461         461.500000      0.999999      
462         462.500000      1.000000      
463         463.500000      1.000002      
464         464.500000      1.000007      
465         465.500000      1.000007      
466         466.500000      1.000000      
467         467.500000      1.000000      
468         468.500000      0.999998      
469         469.500000      0.999998      
470         470.500000      0.999996      
471         471.500000      0.999993      
472         472.500000      1.000005      
473         473.500000      1.000005      
474         474.500000      1.000000      
475         475.500000      0.999998      
476         476.500000      0.999993      
477         477.500000      1.000001      
478         478.500000      1.000007      
479         479.500000      1.000000      
480         480.500000      0.999999      
481         481.500000      0.999998      
482         482.500000      1.000000      
483         483.500000      0.999999      
484         484.500000      1.000003      
485         485.500000      1.000007      
486         486.500000      1.000007      
487         487.500000      1.000007      
488         488.500000      1.000002      
489         489.500000      0.999993      
490         490.500000      1.000001      
491         491.500000      1.000004      
492         492.500000      1.000002      
493         493.500000      1.000000      
494         494.500000      0.999996      
495         495.500000      0.999993      
496         496.500000      1.000000      
497         497.500000      0.999998      
498         498.500000      0.999996      
499         499.500000      1.000000      
500         500.500000      0.999993      
501         501.500000      0.999993      
502         502.500000      0.999993      
503         503.500000      0.999993      
504         504.500000      0.999996      
505         505.500000      0.999999      
506         506.500000      0.999996      
507         507.500000      0.999993      
508         508.500000      0.999996      
509         509.500000      0.999996      
510         510.500000      0.999993      
511         511.500000      0.999996      
512         512.500000      0.999995      
513         513.500000      0.999993      
514         514.500000      0.999993      
515         515.500000      0.999998      
516         516.500000      0.999998      
517         517.500000      0.999995      
518         518.500000      0.999993      
519         519.500000      0.999993      
520         520.500000      0.999993      
521         521.500000      0.999991      
522         522.500000      0.999993      
523         523.500000      0.999998      
524         524.500000      0.999993      
525         525.500000      0.999993      
526         526.500000      0.999993      
527         527.500000      0.999999      
528         528.500000      1.000004      
529         529.500000      1.000007      
530         530.500000      0.999996      
531         531.500000      0.999996      
532         532.500000      1.000000      
533         533.500000      0.999998      
534         534.500000      1.000003      
535         535.500000      1.000002      
536         536.500000      1.000000      
537         537.500000      1.000002      
538         538.500000      1.000002      
539         539.500000      1.000005      
540         540.500000      1.000005      
541         541.500000      0.999993      
542         542.500000      1.000004      
543         543.500000      1.000004      
544         544.500000      1.000007      
545         545.500000      1.000002      
546         546.500000      1.000002      
547         547.500000      1.000002      
548         548.500000      1.000000      
549         549.500000      1.000000      
550         550.500000      1.000004      
551         551.500000      1.000005      
552         552.500000      1.000007      
553         553.500000      1.000001      
554         554.500000      0.999995      
555         555.500000      0.999991      
556         556.500000      0.999996      
557         557.500000      1.000005      
558         558.500000      1.000005      
559         559.500000      1.000010      
560         560.500000      1.000000      
561         561.500000      0.999996      
562         562.500000      1.000000      
563         563.500000      0.999993      
564         564.500000      1.000007      
565         565.500000      1.000002      
566         566.500000      0.999998      
567         567.500000      1.000002      
568         568.500000      1.000000      
569         569.500000      0.999996      
570         570.500000      1.000004      
571         571.500000      1.000007      
572         572.500000      1.000001      
573         573.500000      1.000003      
574         574.500000      1.000007      
575         575.500000      1.000007      
576         576.500000      1.000004      
577         577.500000      0.999998      
578         578.500000      0.999993      
579         579.500000      0.999988      
580         580.500000      1.000007      
581         581.500000      1.000012      
582         582.500000      1.000007      
583         583.500000      1.000021      
584         584.500000      1.000014      
585         585.500000      1.000004      
586         586.500000      1.000004      
587         587.500000      1.000001      
588         588.500000      0.999996      
589         589.500000      0.999996      
590         590.500000      1.000000      
591         591.500000      0.999999      
592         592.500000      0.999993      
593         593.500000      1.000004      
594         594.500000      1.000001      
595         595.500000      1.000007      
596         596.500000      1.000004      
597         597.500000      0.999996      
598         598.500000      0.999996      
599         599.500000      0.999998      
