#num     spill time       feild 
0         0.500000      1.000002      
1         1.500000      1.000003      
2         2.500000      1.000006      
3         3.500000      1.000008      
4         4.500000      1.000006      
5         5.500000      1.000003      
6         6.500000      1.000004      
7         7.500000      1.000005      
8         8.500000      1.000005      
9         9.500000      1.000001      
10         10.500000      0.999997      
11         11.500000      0.999995      
12         12.500000      0.999993      
13         13.500000      0.999984      
14         14.500000      0.999980      
15         15.500000      0.999979      
16         16.500000      0.999972      
17         17.500000      0.999962      
18         18.500000      0.999940      
19         19.500000      0.999924      
20         20.500000      0.999901      
21         21.500000      0.999857      
22         22.500000      0.999831      
23         23.500000      0.999800      
24         24.500000      0.999792      
25         25.500000      0.999754      
26         26.500000      0.999722      
27         27.500000      0.999703      
28         28.500000      0.999696      
29         29.500000      0.999709      
30         30.500000      0.999720      
31         31.500000      0.999746      
32         32.500000      0.999766      
33         33.500000      0.999794      
34         34.500000      0.999816      
35         35.500000      0.999873      
36         36.500000      0.999934      
37         37.500000      0.999992      
38         38.500000      1.000033      
39         39.500000      1.000043      
40         40.500000      1.000068      
41         41.500000      1.000096      
42         42.500000      1.000115      
43         43.500000      1.000137      
44         44.500000      1.000147      
45         45.500000      1.000143      
46         46.500000      1.000139      
47         47.500000      1.000131      
48         48.500000      1.000109      
49         49.500000      1.000091      
50         50.500000      1.000071      
51         51.500000      1.000041      
52         52.500000      1.000016      
53         53.500000      1.000008      
54         54.500000      1.000007      
55         55.500000      0.999997      
56         56.500000      0.999987      
57         57.500000      0.999988      
58         58.500000      0.999988      
59         59.500000      0.999985      
60         60.500000      0.999993      
61         61.500000      1.000006      
62         62.500000      1.000007      
63         63.500000      1.000015      
64         64.500000      1.000029      
65         65.500000      1.000050      
66         66.500000      1.000064      
67         67.500000      1.000088      
68         68.500000      1.000116      
69         69.500000      1.000135      
70         70.500000      1.000155      
71         71.500000      1.000162      
72         72.500000      1.000164      
73         73.500000      1.000167      
74         74.500000      1.000173      
75         75.500000      1.000174      
76         76.500000      1.000171      
77         77.500000      1.000172      
78         78.500000      1.000170      
79         79.500000      1.000165      
80         80.500000      1.000170      
81         81.500000      1.000173      
82         82.500000      1.000173      
83         83.500000      1.000161      
84         84.500000      1.000158      
85         85.500000      1.000161      
86         86.500000      1.000160      
