#num     spill time       feild 
0         0.500000      1.000016      
1         1.500000      1.000005      
2         2.500000      1.000013      
3         3.500000      1.000023      
4         4.500000      1.000012      
5         5.500000      1.000018      
6         6.500000      1.000019      
7         7.500000      1.000005      
8         8.500000      1.000002      
9         9.500000      1.000010      
10         10.500000      1.000027      
11         11.500000      0.999998      
12         12.500000      0.999988      
13         13.500000      0.999960      
14         14.500000      0.999835      
15         15.500000      0.999902      
16         16.500000      0.999840      
17         17.500000      0.999879      
18         18.500000      0.999859      
19         19.500000      0.999702      
20         20.500000      0.999645      
21         21.500000      0.999767      
22         22.500000      0.999745      
23         23.500000      0.999698      
24         24.500000      0.999840      
25         25.500000      0.999885      
26         26.500000      0.999990      
27         27.500000      1.000018      
28         28.500000      0.999979      
29         29.500000      0.999945      
30         30.500000      0.999905      
31         31.500000      0.999758      
32         32.500000      0.999805      
33         33.500000      0.999859      
34         34.500000      0.999824      
35         35.500000      0.999752      
36         36.500000      0.999588      
37         37.500000      0.999596      
38         38.500000      0.999623      
39         39.500000      0.999593      
40         40.500000      0.999608      
41         41.500000      0.999620      
42         42.500000      0.999592      
43         43.500000      0.999634      
44         44.500000      0.999605      
45         45.500000      0.999587      
46         46.500000      0.999781      
47         47.500000      0.999828      
48         48.500000      0.999820      
49         49.500000      0.999849      
50         50.500000      0.999921      
51         51.500000      1.000127      
52         52.500000      1.000294      
53         53.500000      1.000284      
54         54.500000      1.000356      
55         55.500000      1.000336      
56         56.500000      1.000363      
57         57.500000      1.000373      
58         58.500000      1.000345      
59         59.500000      1.000301      
60         60.500000      1.000298      
61         61.500000      1.000280      
62         62.500000      1.000262      
63         63.500000      1.000294      
64         64.500000      1.000219      
65         65.500000      1.000209      
66         66.500000      1.000178      
67         67.500000      1.000109      
68         68.500000      1.000063      
69         69.500000      1.000058      
70         70.500000      1.000059      
71         71.500000      1.000061      
72         72.500000      1.000007      
73         73.500000      1.000030      
74         74.500000      1.000063      
75         75.500000      1.000042      
76         76.500000      1.000079      
77         77.500000      1.000029      
78         78.500000      0.999979      
79         79.500000      0.999993      
80         80.500000      1.000021      
81         81.500000      0.999985      
82         82.500000      1.000000      
83         83.500000      1.000000      
84         84.500000      1.000026      
85         85.500000      1.000066      
86         86.500000      1.000084      
87         87.500000      1.000052      
88         88.500000      1.000047      
89         89.500000      1.000085      
90         90.500000      1.000084      
91         91.500000      1.000040      
92         92.500000      1.000048      
93         93.500000      1.000060      
94         94.500000      1.000048      
95         95.500000      1.000053      
96         96.500000      1.000070      
97         97.500000      1.000081      
98         98.500000      1.000077      
99         99.500000      1.000073      
100         100.500000      1.000066      
101         101.500000      1.000067      
