#num     spill time       feild 
0         0.500000      1.000006      
1         1.500000      1.000004      
2         2.500000      1.000005      
3         3.500000      1.000006      
4         4.500000      1.000004      
5         5.500000      1.000003      
6         6.500000      1.000005      
7         7.500000      1.000002      
8         8.500000      1.000001      
9         9.500000      1.000000      
10         10.500000      0.999990      
11         11.500000      0.999983      
12         12.500000      0.999978      
13         13.500000      0.999955      
14         14.500000      0.999945      
15         15.500000      0.999933      
16         16.500000      0.999925      
17         17.500000      0.999919      
18         18.500000      0.999900      
19         19.500000      0.999865      
20         20.500000      0.999846      
21         21.500000      0.999834      
22         22.500000      0.999805      
23         23.500000      0.999777      
24         24.500000      0.999748      
25         25.500000      0.999705      
26         26.500000      0.999697      
27         27.500000      0.999671      
28         28.500000      0.999658      
29         29.500000      0.999675      
30         30.500000      0.999676      
31         31.500000      0.999704      
32         32.500000      0.999740      
33         33.500000      0.999774      
34         34.500000      0.999792      
35         35.500000      0.999885      
36         36.500000      0.999929      
37         37.500000      0.999975      
38         38.500000      1.000021      
39         39.500000      1.000050      
40         40.500000      1.000081      
41         41.500000      1.000097      
42         42.500000      1.000123      
43         43.500000      1.000163      
44         44.500000      1.000171      
45         45.500000      1.000174      
46         46.500000      1.000162      
47         47.500000      1.000140      
48         48.500000      1.000117      
49         49.500000      1.000091      
50         50.500000      1.000077      
51         51.500000      1.000073      
52         52.500000      1.000044      
53         53.500000      1.000016      
54         54.500000      1.000015      
55         55.500000      1.000008      
56         56.500000      1.000001      
57         57.500000      0.999998      
58         58.500000      0.999993      
59         59.500000      0.999995      
60         60.500000      1.000001      
61         61.500000      1.000001      
62         62.500000      1.000014      
63         63.500000      1.000035      
64         64.500000      1.000048      
65         65.500000      1.000061      
66         66.500000      1.000082      
67         67.500000      1.000117      
68         68.500000      1.000135      
69         69.500000      1.000146      
70         70.500000      1.000162      
71         71.500000      1.000161      
72         72.500000      1.000171      
73         73.500000      1.000189      
74         74.500000      1.000194      
75         75.500000      1.000189      
76         76.500000      1.000187      
77         77.500000      1.000188      
78         78.500000      1.000192      
79         79.500000      1.000194      
80         80.500000      1.000185      
81         81.500000      1.000175      
82         82.500000      1.000175      
83         83.500000      1.000172      
84         84.500000      1.000173      
85         85.500000      1.000177      
86         86.500000      1.000174      
87         87.500000      1.000163      
88         88.500000      1.000157      
89         89.500000      1.000156      
90         90.500000      1.000149      
91         91.500000      1.000142      
92         92.500000      1.000141      
93         93.500000      1.000132      
94         94.500000      1.000133      
95         95.500000      1.000127      
96         96.500000      1.000119      
97         97.500000      1.000106      
98         98.500000      1.000103      
99         99.500000      1.000107      
100         100.500000      1.000097      
101         101.500000      1.000090      
102         102.500000      1.000088      
103         103.500000      1.000084      
104         104.500000      1.000075      
105         105.500000      1.000063      
106         106.500000      1.000063      
107         107.500000      1.000065      
108         108.500000      1.000060      
109         109.500000      1.000054      
110         110.500000      1.000047      
111         111.500000      1.000043      
112         112.500000      1.000038      
113         113.500000      1.000035      
114         114.500000      1.000039      
115         115.500000      1.000036      
116         116.500000      1.000034      
117         117.500000      1.000039      
118         118.500000      1.000040      
119         119.500000      1.000035      
