##
#  file: MsTParam_E07_20160610.txt
#  date: 2016.06.29
#
#

#######################################################################
# TOF	SCH	Low	High                                          #
#######################################################################
0	0	0	0
0	1	0	0
0	2	0	0
0	3	0	0
0	4	0	0
0	5	0	0
0	6	750	1000
0	7	750	1000
0	8	750	1000
0	9	750	1000
0	10	750	1000
0	11	750	1000
0	12	750	1000
0	13	750	1000
0	14	750	1000
0	15	750	1000
0	16	750	1000
0	17	0	0
0	18	0	0
0	19	0	0
0	20	0	0
0	21	0	0
0	22	0	0
0	23	0	0
0	24	0	0
0	25	0	0
0	26	0	0
0	27	0	0
0	28	0	0
0	29	0	0
0	30	0	0
0	31	0	0
0	32	0	0
0	33	0	0
0	34	0	0
0	35	0	0
0	36	0	0
0	37	0	0
0	38	0	0
0	39	0	0
0	40	0	0
0	41	0	0
0	42	0	0
0	43	0	0
0	44	0	0
0	45	0	0
0	46	0	0
0	47	0	0
0	48	0	0
0	49	0	0
0	50	0	0
0	51	0	0
0	52	0	0
0	53	0	0
0	54	0	0
0	55	0	0
0	56	0	0
0	57	0	0
0	58	0	0
1	0	0	0
1	1	0	0
1	2	0	0
1	3	0	0
1	4	0	0
1	5	0	0
1	6	0	0
1	7	700	950
1	8	700	950
1	9	700	950
1	10	700	950
1	11	700	950
1	12	700	950
1	13	700	950
1	14	700	950
1	15	700	950
1	16	700	950
1	17	700	950
1	18	700	950
1	19	0	0
1	20	0	0
1	21	0	0
1	22	0	0
1	23	0	0
1	24	0	0
1	25	0	0
1	26	0	0
1	27	0	0
1	28	0	0
1	29	0	0
1	30	0	0
1	31	0	0
1	32	0	0
1	33	0	0
1	34	0	0
1	35	0	0
1	36	0	0
1	37	0	0
1	38	0	0
1	39	0	0
1	40	0	0
1	41	0	0
1	42	0	0
1	43	0	0
1	44	0	0
1	45	0	0
1	46	0	0
1	47	0	0
1	48	0	0
1	49	0	0
1	50	0	0
1	51	0	0
1	52	0	0
1	53	0	0
1	54	0	0
1	55	0	0
1	56	0	0
1	57	0	0
1	58	0	0
2	0	0	0
2	1	0	0
2	2	0	0
2	3	0	0
2	4	0	0
2	5	0	0
2	6	0	0
2	7	0	0
2	8	600	950
2	9	600	950
2	10	600	950
2	11	650	950
2	12	650	950
2	13	650	950
2	14	650	950
2	15	650	950
2	16	650	950
2	17	700	950
2	18	700	950
2	19	700	950
2	20	700	950
2	21	0	0
2	22	0	0
2	23	0	0
2	24	0	0
2	25	0	0
2	26	0	0
2	27	0	0
2	28	0	0
2	29	0	0
2	30	0	0
2	31	0	0
2	32	0	0
2	33	0	0
2	34	0	0
2	35	0	0
2	36	0	0
2	37	0	0
2	38	0	0
2	39	0	0
2	40	0	0
2	41	0	0
2	42	0	0
2	43	0	0
2	44	0	0
2	45	0	0
2	46	0	0
2	47	0	0
2	48	0	0
2	49	0	0
2	50	0	0
2	51	0	0
2	52	0	0
2	53	0	0
2	54	0	0
2	55	0	0
2	56	0	0
2	57	0	0
2	58	0	0
3	0	0	0
3	1	0	0
3	2	0	0
3	3	0	0
3	4	0	0
3	5	0	0
3	6	0	0
3	7	0	0
3	8	0	0
3	9	750	1050
3	10	750	1050
3	11	750	1050
3	12	750	1050
3	13	750	1050
3	14	750	1050
3	15	750	1050
3	16	750	1050
3	17	750	1050
3	18	800	1050
3	19	800	1050
3	20	800	1050
3	21	800	1050
3	22	800	1050
3	23	0	0
3	24	0	0
3	25	0	0
3	26	0	0
3	27	0	0
3	28	0	0
3	29	0	0
3	30	0	0
3	31	0	0
3	32	0	0
3	33	0	0
3	34	0	0
3	35	0	0
3	36	0	0
3	37	0	0
3	38	0	0
3	39	0	0
3	40	0	0
3	41	0	0
3	42	0	0
3	43	0	0
3	44	0	0
3	45	0	0
3	46	0	0
3	47	0	0
3	48	0	0
3	49	0	0
3	50	0	0
3	51	0	0
3	52	0	0
3	53	0	0
3	54	0	0
3	55	0	0
3	56	0	0
3	57	0	0
3	58	0	0
4	0	0	0
4	1	0	0
4	2	0	0
4	3	0	0
4	4	0	0
4	5	0	0
4	6	0	0
4	7	0	0
4	8	0	0
4	9	0	0
4	10	800	1050
4	11	800	1050
4	12	800	1050
4	13	800	1050
4	14	800	1050
4	15	800	1050
4	16	800	1050
4	17	800	1050
4	18	800	1050
4	19	800	1050
4	20	800	1050
4	21	800	1050
4	22	800	1050
4	23	800	1050
4	24	0	0
4	25	0	0
4	26	0	0
4	27	0	0
4	28	0	0
4	29	0	0
4	30	0	0
4	31	0	0
4	32	0	0
4	33	0	0
4	34	0	0
4	35	0	0
4	36	0	0
4	37	0	0
4	38	0	0
4	39	0	0
4	40	0	0
4	41	0	0
4	42	0	0
4	43	0	0
4	44	0	0
4	45	0	0
4	46	0	0
4	47	0	0
4	48	0	0
4	49	0	0
4	50	0	0
4	51	0	0
4	52	0	0
4	53	0	0
4	54	0	0
4	55	0	0
4	56	0	0
4	57	0	0
4	58	0	0
5	0	0	0
5	1	0	0
5	2	0	0
5	3	0	0
5	4	0	0
5	5	0	0
5	6	0	0
5	7	0	0
5	8	0	0
5	9	0	0
5	10	0	0
5	11	600	900
5	12	600	900
5	13	600	900
5	14	600	900
5	15	600	900
5	16	600	900
5	17	600	900
5	18	600	900
5	19	600	900
5	20	600	900
5	21	600	900
5	22	600	900
5	23	600	900
5	24	600	900
5	25	600	900
5	26	0	0
5	27	0	0
5	28	0	0
5	29	0	0
5	30	0	0
5	31	0	0
5	32	0	0
5	33	0	0
5	34	0	0
5	35	0	0
5	36	0	0
5	37	0	0
5	38	0	0
5	39	0	0
5	40	0	0
5	41	0	0
5	42	0	0
5	43	0	0
5	44	0	0
5	45	0	0
5	46	0	0
5	47	0	0
5	48	0	0
5	49	0	0
5	50	0	0
5	51	0	0
5	52	0	0
5	53	0	0
5	54	0	0
5	55	0	0
5	56	0	0
5	57	0	0
5	58	0	0
6	0	0	0
6	1	0	0
6	2	0	0
6	3	0	0
6	4	0	0
6	5	0	0
6	6	0	0
6	7	0	0
6	8	0	0
6	9	0	0
6	10	0	0
6	11	0	0
6	12	650	900
6	13	650	900
6	14	650	900
6	15	650	900
6	16	650	900
6	17	650	900
6	18	650	900
6	19	650	900
6	20	650	900
6	21	650	900
6	22	650	900
6	23	650	900
6	24	650	900
6	25	650	900
6	26	650	900
6	27	0	0
6	28	0	0
6	29	0	0
6	30	0	0
6	31	0	0
6	32	0	0
6	33	0	0
6	34	0	0
6	35	0	0
6	36	0	0
6	37	0	0
6	38	0	0
6	39	0	0
6	40	0	0
6	41	0	0
6	42	0	0
6	43	0	0
6	44	0	0
6	45	0	0
6	46	0	0
6	47	0	0
6	48	0	0
6	49	0	0
6	50	0	0
6	51	0	0
6	52	0	0
6	53	0	0
6	54	0	0
6	55	0	0
6	56	0	0
6	57	0	0
6	58	0	0
7	0	0	0
7	1	0	0
7	2	0	0
7	3	0	0
7	4	0	0
7	5	0	0
7	6	0	0
7	7	0	0
7	8	0	0
7	9	0	0
7	10	0	0
7	11	0	0
7	12	0	0
7	13	600	800
7	14	600	800
7	15	600	800
7	16	600	800
7	17	600	800
7	18	600	800
7	19	600	800
7	20	600	800
7	21	600	800
7	22	600	800
7	23	600	800
7	24	600	800
7	25	600	800
7	26	600	800
7	27	600	800
7	28	0	0
7	29	0	0
7	30	0	0
7	31	0	0
7	32	0	0
7	33	0	0
7	34	0	0
7	35	0	0
7	36	0	0
7	37	0	0
7	38	0	0
7	39	0	0
7	40	0	0
7	41	0	0
7	42	0	0
7	43	0	0
7	44	0	0
7	45	0	0
7	46	0	0
7	47	0	0
7	48	0	0
7	49	0	0
7	50	0	0
7	51	0	0
7	52	0	0
